sepal_length,sepal_width,petal_length,petal_width,species,sample_id,event_timestamp
4.6,3.2,1.4,0.2,setosa,47,2025-07-05 17:30:07.314766+00:00
5.3,3.7,1.5,0.2,setosa,48,2025-07-10 17:30:07.314837+00:00
5.0,3.3,1.4,0.2,setosa,49,2025-07-09 17:30:07.314909+00:00
7.0,3.2,4.7,1.4,versicolor,50,2025-07-11 17:30:07.315038+00:00
6.4,3.2,4.5,1.5,versicolor,51,2025-07-02 17:30:07.315133+00:00
6.9,3.1,4.9,1.5,versicolor,52,2025-07-07 17:30:07.315207+00:00
5.5,2.3,4.0,1.3,versicolor,53,2025-07-18 17:30:07.315295+00:00
6.5,2.8,4.6,1.5,versicolor,54,2025-07-09 17:30:07.315370+00:00
5.7,2.8,4.5,1.3,versicolor,55,2025-07-16 17:30:07.315442+00:00
6.3,3.3,4.7,1.6,versicolor,56,2025-07-15 17:30:07.315513+00:00
4.9,2.4,3.3,1.0,versicolor,57,2025-07-07 17:30:07.315584+00:00
6.6,2.9,4.6,1.3,versicolor,58,2025-06-21 17:30:07.315668+00:00
5.2,2.7,3.9,1.4,versicolor,59,2025-07-02 17:30:07.315740+00:00
5.0,2.0,3.5,1.0,versicolor,60,2025-07-15 17:30:07.315811+00:00
5.9,3.0,4.2,1.5,versicolor,61,2025-06-20 17:30:07.315883+00:00
6.0,2.2,4.0,1.0,versicolor,62,2025-06-26 17:30:07.315954+00:00
6.1,2.9,4.7,1.4,versicolor,63,2025-06-24 17:30:07.316025+00:00
5.6,2.9,3.6,1.3,versicolor,64,2025-06-27 17:30:07.316096+00:00
6.7,3.1,4.4,1.4,versicolor,65,2025-07-18 17:30:07.316167+00:00
5.6,3.0,4.5,1.5,versicolor,66,2025-07-14 17:30:07.316238+00:00
5.8,2.7,4.1,1.0,versicolor,67,2025-07-09 17:30:07.316309+00:00
6.2,2.2,4.5,1.5,versicolor,68,2025-07-03 17:30:07.316380+00:00
5.6,2.5,3.9,1.1,versicolor,69,2025-07-13 17:30:07.316451+00:00
5.9,3.2,4.8,1.8,versicolor,70,2025-07-16 17:30:07.316522+00:00
6.1,2.8,4.0,1.3,versicolor,71,2025-06-23 17:30:07.316593+00:00
6.3,2.5,4.9,1.5,versicolor,72,2025-07-09 17:30:07.316674+00:00
6.1,2.8,4.7,1.2,versicolor,73,2025-07-17 17:30:07.316746+00:00
6.4,2.9,4.3,1.3,versicolor,74,2025-07-15 17:30:07.316817+00:00
6.6,3.0,4.4,1.4,versicolor,75,2025-07-11 17:30:07.316888+00:00
6.8,2.8,4.8,1.4,versicolor,76,2025-07-06 17:30:07.316959+00:00
6.7,3.0,5.0,1.7,versicolor,77,2025-06-21 17:30:07.317032+00:00
6.0,2.9,4.5,1.5,versicolor,78,2025-07-05 17:30:07.317104+00:00
5.7,2.6,3.5,1.0,versicolor,79,2025-07-04 17:30:07.317175+00:00
5.5,2.4,3.8,1.1,versicolor,80,2025-06-20 17:30:07.317247+00:00
5.5,2.4,3.7,1.0,versicolor,81,2025-07-16 17:30:07.317319+00:00
5.8,2.7,3.9,1.2,versicolor,82,2025-06-20 17:30:07.317391+00:00
6.0,2.7,5.1,1.6,versicolor,83,2025-07-10 17:30:07.317462+00:00
5.4,3.0,4.5,1.5,versicolor,84,2025-07-13 17:30:07.317534+00:00
6.0,3.4,4.5,1.6,versicolor,85,2025-07-12 17:30:07.317636+00:00
6.7,3.1,4.7,1.5,versicolor,86,2025-07-16 17:30:07.318572+00:00
6.3,2.3,4.4,1.3,versicolor,87,2025-07-03 17:30:07.318693+00:00
5.6,3.0,4.1,1.3,versicolor,88,2025-06-30 17:30:07.318781+00:00
5.5,2.5,4.0,1.3,versicolor,89,2025-07-18 17:30:07.318862+00:00
5.5,2.6,4.4,1.2,versicolor,90,2025-06-20 17:30:07.318940+00:00
6.1,3.0,4.6,1.4,versicolor,91,2025-06-28 17:30:07.319074+00:00
5.8,2.6,4.0,1.2,versicolor,92,2025-07-07 17:30:07.319158+00:00
5.0,2.3,3.3,1.0,versicolor,93,2025-07-08 17:30:07.319240+00:00
5.6,2.7,4.2,1.3,versicolor,94,2025-06-21 17:30:07.319315+00:00
5.7,3.0,4.2,1.2,versicolor,95,2025-07-01 17:30:07.319389+00:00
5.7,2.9,4.2,1.3,versicolor,96,2025-07-03 17:30:07.319462+00:00
6.2,2.9,4.3,1.3,versicolor,97,2025-07-05 17:30:07.319535+00:00
5.1,2.5,3.0,1.1,versicolor,98,2025-06-23 17:30:07.319619+00:00
5.7,2.8,4.1,1.3,versicolor,99,2025-06-22 17:30:07.319695+00:00
6.3,3.3,6.0,2.5,virginica,100,2025-07-07 17:30:07.319768+00:00
5.8,2.7,5.1,1.9,virginica,101,2025-07-18 17:30:07.319841+00:00
7.1,3.0,5.9,2.1,virginica,102,2025-06-20 17:30:07.319915+00:00
6.3,2.9,5.6,1.8,virginica,103,2025-07-08 17:30:07.319988+00:00
6.5,3.0,5.8,2.2,virginica,104,2025-07-14 17:30:07.320061+00:00
7.6,3.0,6.6,2.1,virginica,105,2025-06-30 17:30:07.320134+00:00
4.9,2.5,4.5,1.7,virginica,106,2025-07-09 17:30:07.320206+00:00
7.3,2.9,6.3,1.8,virginica,107,2025-06-21 17:30:07.320277+00:00
6.7,2.5,5.8,1.8,virginica,108,2025-07-05 17:30:07.320350+00:00
7.2,3.6,6.1,2.5,virginica,109,2025-06-20 17:30:07.320423+00:00
6.5,3.2,5.1,2.0,virginica,110,2025-07-07 17:30:07.320496+00:00
6.4,2.7,5.3,1.9,virginica,111,2025-06-25 17:30:07.320568+00:00
6.8,3.0,5.5,2.1,virginica,112,2025-07-08 17:30:07.320678+00:00
5.7,2.5,5.0,2.0,virginica,113,2025-07-04 17:30:07.320760+00:00
5.8,2.8,5.1,2.4,virginica,114,2025-07-04 17:30:07.320833+00:00
6.4,3.2,5.3,2.3,virginica,115,2025-06-26 17:30:07.320906+00:00
6.5,3.0,5.5,1.8,virginica,116,2025-06-19 17:30:07.320978+00:00
7.7,3.8,6.7,2.2,virginica,117,2025-07-14 17:30:07.321064+00:00
7.7,2.6,6.9,2.3,virginica,118,2025-07-14 17:30:07.321137+00:00
6.0,2.2,5.0,1.5,virginica,119,2025-06-24 17:30:07.321209+00:00
6.9,3.2,5.7,2.3,virginica,120,2025-06-23 17:30:07.321281+00:00
5.6,2.8,4.9,2.0,virginica,121,2025-07-16 17:30:07.321353+00:00
7.7,2.8,6.7,2.0,virginica,122,2025-07-06 17:30:07.321425+00:00
6.3,2.7,4.9,1.8,virginica,123,2025-07-06 17:30:07.321497+00:00
6.7,3.3,5.7,2.1,virginica,124,2025-07-04 17:30:07.321569+00:00
7.2,3.2,6.0,1.8,virginica,125,2025-06-27 17:30:07.321652+00:00
6.2,2.8,4.8,1.8,virginica,126,2025-06-25 17:30:07.321726+00:00
6.1,3.0,4.9,1.8,virginica,127,2025-06-20 17:30:07.321798+00:00
6.4,2.8,5.6,2.1,virginica,128,2025-06-18 17:30:07.321871+00:00
7.2,3.0,5.8,1.6,virginica,129,2025-07-04 17:30:07.321960+00:00
7.4,2.8,6.1,1.9,virginica,130,2025-07-04 17:30:07.322076+00:00
7.9,3.8,6.4,2.0,virginica,131,2025-07-09 17:30:07.322155+00:00
6.4,2.8,5.6,2.2,virginica,132,2025-07-03 17:30:07.322227+00:00
6.3,2.8,5.1,1.5,virginica,133,2025-07-03 17:30:07.322300+00:00
6.1,2.6,5.6,1.4,virginica,134,2025-07-12 17:30:07.322375+00:00
7.7,3.0,6.1,2.3,virginica,135,2025-06-25 17:30:07.322448+00:00
6.3,3.4,5.6,2.4,virginica,136,2025-06-23 17:30:07.322521+00:00
6.4,3.1,5.5,1.8,virginica,137,2025-07-03 17:30:07.322594+00:00
6.0,3.0,4.8,1.8,virginica,138,2025-06-25 17:30:07.322719+00:00
6.9,3.1,5.4,2.1,virginica,139,2025-06-26 17:30:07.322807+00:00
6.7,3.1,5.6,2.4,virginica,140,2025-07-02 17:30:07.322916+00:00
6.9,3.1,5.1,2.3,virginica,141,2025-06-30 17:30:07.323022+00:00
5.8,2.7,5.1,1.9,virginica,142,2025-06-29 17:30:07.323204+00:00
6.8,3.2,5.9,2.3,virginica,143,2025-07-16 17:30:07.323297+00:00
6.7,3.3,5.7,2.5,virginica,144,2025-07-14 17:30:07.323464+00:00
6.7,3.0,5.2,2.3,virginica,145,2025-06-29 17:30:07.323555+00:00
6.3,2.5,5.0,1.9,virginica,146,2025-06-29 17:30:07.323640+00:00
6.5,3.0,5.2,2.0,virginica,147,2025-06-21 17:30:07.323714+00:00
6.2,3.4,5.4,2.3,virginica,148,2025-06-18 17:30:07.323788+00:00
5.9,3.0,5.1,1.8,virginica,149,2025-07-05 17:30:07.323872+00:00
